Term,Abbreviation
Unified Modeling Language,UML
unified S-band,USB
Unified special thread,UNS
uniform,UNIF
Uniform System [lens marking],US
uniformity coefficient,UNIFCOEF
unijunction transistor,UJT
uninterruptible power supply,UPS
union,UN
union bonnet,UNB
unique identification,UID
unique item identification,Ull
unit check,UK
unit cooler,UC
unit heater,UH
unit injector,UI
unit under test,UUT
unit weight,UWT
United States,US
United States Gage,USG
United States Pharmacopeia,USP
universal,UNIV
universal asynchronous receiver-transmitter,UART
universal product code,UPC
unknown,UNK
unless otherwise specified,UOS
unlimited,UNLIM
unloading,UNL
unlocking,UNLKG
unmarked,UNMKD
unmounted,UNMTD
unregulated,UNRGLTD
unsatisfactory material notice,UMN
unsatisfactory report,UR
unsensitized,USTZD
unsuppressed,UNSUPPR
untreated,UTRTD
untreated hard-pressed fiberboard,UHPFB
untwist,UNTW
updraft,UPDFT
upper,UPR
upper and lower,UL
upper control limit,UCL
upper sideband,USB
upright,URT
upward,UPWD
urinal,UR
urinal water closet,URWC
USA standard,USAS
usage,USG
use as required,UAR
used on,UO
used with,UW
utensil,UTN
utility,UTIL
utility binary dump,UBD
utility room,UR
utilization,UTIL
utilization of enemy electromagnetic radiation,UTEELRAD
vacuum,VAC
vacuum induction melt vacuum arc remelt -,VIMVAR
vacuum tube,VT
vacuum-tube voltmeter,VTVM
valley,VAL
value,VAL
value engineering,VE
valve,V
valve box,VB
valve lash,VL
valve seat,VST
valve stem,VSTM
vandalism,VANDAL.
Vandyke,VD
vane axial,VNXL
vapor seal,VS
vaporize,VPR
vaporproof,VAPPRF
vaportight,VT
varactor,VRCTR
var-hour meter,VARHM
variable,VAR
variable delivery,VDEL
variable floating point,VFLPT
variable frequency,VF
variable gain amplifier,VGA
variable resistor,VARISTOR
variable time (fuse),VT
variable-control oil pressure,VCOP
variable-frequency clock,VFREQCLK
variable-frequency oscillator,VFO
variable-threshold logic,VTL
variable-voltage transformer,VARITRAN
variance,VAR
variation,VAR
variety,VRTY
various,VAR
varistor,VRIS
varmeter,VARM
varnish,VARN
varnished cambric [insul],VC
varying,VRYG
vault door,VD
vegetable,VEG
vehicle,VEH
vehicle identification number,VIN
vellum,VEL
velocity,VEL
velocity modulation,VM
vendor item control drawing,VICD
vent hole,VH
vent pipe,VP
vent stack,VS
ventilate,VENT
ventilating deadlight,VDL
ventilating equipment,VE
ventilator,VENT
verbatim,VERB
verification,VERIF
verification and validation,V&V
verify,VRFY
vernier,VERN
versatile,VERST
versed sine,VERS
version,VER
Version Description Document,VDD
versus,VS
vertex,VTX
vertical,VERT
vertical (comb form),V
vertical and short takeoff and landing,VSTOL
vertical center line,VCL
vertical centrifugal,VCE
vertical impulse,VIMP
vertical ladder,VL
vertical location of the center of buoyancy,VCB
vertical location of the center of gravity,VCG
vertical radial,VTR
vertical reference line,VRL
vertical takeoff and landing,VTOL
vertical volute spring suspension,VVSS
very high frequency,VHF
very high frequency direction finding,VHFDF
very high frequency omnidirectional radio,VOR
very high frequency omnirange localizer,VORLOC
very large-scale integration,VLSI
very long range,VLR
very low altitude,VLA
very low frequency,VLF
vestibule,VEST
vestigial sideband,VSB
vestigial-sideband modulation,VSM
vibrate,VIB
vibration,VIB
Vickers hardness,VH
video [adjective],VID
video amplifier,VIDAMP
video display terminal,VDT
video frequency,VIDF
video integration,VINT
videotape recorder,VTR
village,VIL
violet,V
violet,VIO
viscometer,VISMR
viscosity,VISC
viscosity index,VI
visible,VSBL
visual,VIS
visual aural radio range,VARR
visual flight rules,VFR
visual glide slope,VGS
visual identification,VISID
vital information management system,VIMS
vital load center,VLC
vitreous,VIT
vitrified clay,VC
vitrified clay tile,VCT
voice,VO
voice coil,VC
voice frequency,VF
voice frequency carrier teletype,VFCTT
voice frequency telegraph,VFTLG
voice tube,VT
voice-actuated transmitter keyer inhibitor,ANTIVOX
voice-operated device for automatic transmission,VODAT
voice-operated transmitter keyer,VOX
volt,V
volt per meter,VM
volt per mil,VMIL
voltage control transfer,VCT
voltage detector,VDET
voltage drop,VD
voltage regulator,VR
voltage relay,VRLY
voltage standing-wave ratio,VSWR
voltage-adjusting rheostat,VADJR
voltage-controlled oscillator,VCO
voltage-tunable magnetron,VTM
voltage-variable capacitor,VVC
volt-ammeter,VAM
volt-ampere,VA
voltmeter,VM
voltmeter switch,VS
volt-ohm-milliammeter,VOM
volume,VOL
volume indicator,VI
volume of compartment,VC
volume unit,VU
volumetric,VLMTRC
volute,VLT
vulcanize,VULC
wagon,WAG
wagon box,WB
wainscot,WA
waiting,WTG
wake light,WKLT
wall hydrant,WH
wall receptacle,WR
wall vent,WV
wallboard,WLB
walseal,WLSL
wanigan,WAN
wardrobe,WRB
wardroom,WR
warehouse,WHSE
warhead,WARHD
warming,WM
warning,WRN
warping,WRPG
warranty,WARR
wash bucket,WB
wash fountain,WF
Washburn and Moen gage,WMGA
washer,WSHR
washing,WSHG
washroom,WR
waste,
waste pipe,WP
waste stack,WS
water,WTR
water chiller,WCHR
water closet,WC
water cooler,WCR
water fog,WFG
water heater,WH
water jacket,WI
water meter,WM
water pump,WP
water round torpedo,WRT
water surface,WS
water turbine,WTURB
"water turbine, closed-coupled",WTCC
"water turbine, direct",WTD
water-cooled,WCLD
waterline,WL
waterproof,WTRPRF
waterproof fan-cooled,WPFC
waterproof shroud,WPS
waterproofing,WPG
watertight,WTRTT
waterwall,WW
waterwheel,WWHL
watt,W
watt demand meter,WDM
watt-hour,WH
watt-hour demand meter,WHDM
"watt-hour demand meter, thermal type",WHT
watt-hour meter,WHM
watt-hour meter with contact device,WHC
watt-hour meter with loss compensator,WHL
wattmeter,WM
waveguide,WG
wavelength,WL
weakened plane joint,WPJ
weapon,WPN
weapon carrier,WC
weapon system,WS
wearing,WRG
weather,WEA
weather resistant,WR
weather seal,WSL
weather stripping,WS
weatherproof,WTHPRF
weatherproof [insul],WP
weathertight,WEAT
webbing,WBG
wedge,WG
week,WK
weight,WT
weighting,WTG
welded,WLD
welder,WLDR
weldless,WLDS
west,W
wet bulb,WB
wet process,WP
wetted surface,WS
whale boat,WB
wheel,WHL
wheelbarrow,WB
wheelbase,WB
wheelhouse,WH
when practical,WP
whistle,WSTL
white,W
white,WHT
white indicating lamp,WIL
white light,WL
white phosphorus,WP
white room,WR
white scale,WHS
whole depth,WD
wide band,WB
wide-area data service,WADS
wide-area telecommunications service,WATS
width,WD
width across flats,WAF
wildcat,WLC
winch,WN
wind direction,WDIR
wind load,WL
winder,WNDR
winding,WDG
winding to winding,WW
windlass,WNDLS
window,WDO
window dimension,WD
window guard,WG
window unit,WU
windshield,WSHLD
wing,WG
wing chord plane,WCP
wing reference line,WRL
wing station,WG STA
winterize,WTRZ
wipe out,WO
wiping,WPG
wire (comb form),W
wire assembly,WA
wire gage,WG
wire glass,WGL
wire list,WL
wire mesh,WM
wire rope,WR
wire schedule,WS
wire-bound,WBD
wireway,WW
wire-wound,WW
wiring,WRG
wiring around frame,WAF
wiring harness,WH
with (comb form),W
with blowout,WBO
with equipment and spare parts,WESP
withdrawn,WD
without,WO
without blowout,WOBO
without equipment and spare,WOESP
wood awning-type window,WATW
wood base,WB
wood block floor,WBF
wood blocking,WBL
wood boring,WDBOR
wood casement window,WCW
wood door,WD
wood door and frame,WDF
wood furring strips,WFS
wood jalousie,WJ
wood panel,WDP
wood pattern,WP
wood shingle roof,WSR
wood threshold,WT
woodcutting,WCTG
wooden box [ammo],WBX
woodruff,WDF
word buffer register,WBR
word combiner and multiplexer,WCM
word processing,WP
work breakdown structure,WBS
work in process,WIP
work light,WKLT
work line,WL
work tool,WKTL
workbench,WB
working circle,WC
working point,WP
working pressure,WPR
working steam pressure,WSP
working voltage,WV
workshop,WKS
workshop assembly [torpedo],WA
workshop unit [torpedo],WU
worm gear,WMGR
worm shaft,WMSFT
worm wheel,WMWHL
wound,WND
wrecker,WRK
wrecking,WRK
wrench,WR
wringer,WRGR
wrist pin,WSTPN
writable control store,WCS
writer,WR
wrong direction,WRDIR
wrought,WRT
wrought brass,WBRS
wrought iron,WI
wrought steel,WS
yardarm,YD
year,YR
yellow,Y
yellow,YEL
yellow indicating lamp,YIL
yellow light,YLT
yellow varnished cambric [insul],YVC
yield point,YP
yield strength,YS
end of y,
zero temperature coefficient,ZTC
zinc yellow chromate,ZY
silicon controlled rectifier (see semiconductor controlled rectifier),
half dog point,1/2DP
half-hard,1/2H
half-round,1/2RD
two-conductor,2C
two-dimensional,2D
two-digit,2DIG
two-phase,2PH
two-stage,2STG
two-wire,2W
two-way,2WAY
three-conductor,3C
three-dimensional,3D
three pole,3P
triple-pole,3P
"three-pole, double-throw",3PDT
"triple-pole, double-throw",3PDT
"triple-pole, double-throw switch",3PDTSW
three-phase,3PH
"three-pole, single-throw",3PST
"triple-pole, single-throw",3PST
"triple-pole, single-throw switch",3PSTSW
triple-pole switch,3PSW
third stage,3STG
three-stage,3STG
triple-throw,3T
three-wire,3W
three-way,3WAY
four-conductor,4/C
four-dimensional,4D
four-pole,4P
"four-pole, double-throw switch",4PDTSW
"four-pole, single-throw switch",4PSTSW
four-pole switch,4PSW
four-stage,4STG
fourth stage,4STG
four-wire,4W
four-way,4WAY
anode [electron device],A
anti (comb form),A
astragal,A
arithmetic average,AA
antiaircraft,AA
armature accelerator,AA
air-to-air,AA
antiaircraft artillery,AAA
antiaircraft common,AAC
acquisition advice code,AAC
antiaircraft fire control,AAFC
air-to-air identification,AAI
aircraft approach light,AAL
air-to-air-missile,AAM
advance alteration notice,MN
antiair output,AAO
antiaircraft self-destroying,AASD
adapter booster,AB
anchor bolt,AB
afterburner,AB
air blast,AB
advanced battery acquisition radar,ABAR
abbreviate,ABBR
automatic brightness control,ABC
air blast circuit breaker,ABCB
automatic bias compensation,ABCP
abandon ship,ABDNSHP
above baseline,ABL
airborne,ABN
abnormal,ABNL
abrasion,ABRS
abrasive,ABRSV
abrasive-resistant,ABRSVRES
absolute,ABS
automatic bass compensation,ABSC
absolute ceiling,ABSCLG
absorption,ABSORB
abstract,ABSTR
air-break switch,ABSW
about,ABT
air blast transformer,ABT
above,ABV
automatic bandwidth control,ABWC
aerodynamic center,AC
alternating current,AC
asbestos cement,AC
air conditioning,AC
air circuit breaker,ACB
asbestos-cement board,ACB
accumulator,ACC
accelerate,ACCEL
accessory,ACCESS
accelerometer,ACCLRM
accommodate,ACCOM
account,ACCT
accumulate,ACCUM
accurate,ACCUR
accident,ACDT
automatic checkout equipment,ACE
acetylene,ACET
aircraft,ACFT
angiocardiogram,ACG
air circulating,ACIRC
acknowledge,ACK
automatic circuit exchange,ACKTX
air-cooled,ACLD
automatic clutter eliminator,ACLE
accelerator,ACLTR
asbestos-covered metal,ACM
advance change notice,ACN
action cutout,ACO
accept,ACPT
acceptor,ACPTR
acquire,ACQ
acquisition,ACQ
across,ACR
across flats,ACRFLT
acrylic,ACRYL
accumulator switch,ACS
alternating current synchronous,ACS
access,ACS
aluminum conductor steel reinforced,ACSR
access time,ACST
acoustic,ACST
algebraic compiler and translator,ACT
activity,ACT
actuate,ACTE
actuating,ACTG
actual,ACTL
action,ACTN
actuator,ACTR
acetate,ACTT
activation analysis,ACTVNANAL
activate,ACTVT
activator,ACTVTR
alarm check valve,ACV
aircraft control and warning,ACW
ampere demand meter,AD
area drain,AD
as drawn,AD
advertisement,AD
analog-to-digital,AD
anode,AD
adaptation,ADAPT
air data computing,ADC
analog-to-digital converter,ADC
Advance Drawing Change Notice,ADCN
addendum,ADD
addition,ADD
additional,ADDL
additive,ADDT
automatic direction finder,ADF
adhere,ADH
adhesive,ADH
adjacent,ADJ
adjust,ADJ
adjustable speed,ADJSP
admitting,ADMG
administer,ADMIN
automatic data processing,ADP
adapter,ADPTR
address,ADRS
automatic door seal,ADS
adsorbent,ADSORB
average daily traffic,ADT
advance,ADV
advisory,ADVSY
air escape,AE
armament and electronics,AE
advance engineering change proposal,AECP
Aerospace and advanced engineering drawing,AED
active element group,AEG
average efficiency index,AEI
auxiliary equipment manufacturer,AEM
advance engineering order,AEO
after engine room,AER
aeronautic,AERO
aerodynamic,AERODYN
aerological,AEROL
automatic electronic traction aid,AETA
airborne early warning,AEW
audio frequency,AF
antifriction bearing,AFB
automatic frequency control,AFC
automatic flight control equipment,AFCE
adaptive flight control systems,AFCS
adoptive flight control system,AFCS
automatic flight control system,AFCS
antifriction metal,AFM
airframe,AFR
Arming and Fusing System,AFS
after,AFT
after cooler,AFTCLR
aftertreatment,AFTM
air-to-ground,AG
armor grating,AG
agitate,AG
automatic gain control,AGC
automatic ground-controlled approach,AGCA
automatic ground-controlled landing,AGCL
American Gage Design Standard,AGDS
aerospace ground equipment,AGE
aggregate,AGGR
augment,AGMT
aviation gas turbine,AGT
agent,AGT
air over hydraulic,AH
antihunt,AH
air header,AHDR
ampere-hour meter,AHM
anchor,AHR
air installations,Al
airborne interceptor,Al
airspeed indicator,Al
artificial intelligence,AI
anti-icing,Al
automotive industry action group,AIAG
ammunition identification code,AIC
altered item drawing,AID
air inlet heater,AIH
aileron,AIL
automatic instrument landing approach system,AILAS
automatic instrument landing system,AILS
air induction,AINDTN
air cleaner,AIRCLNR
air-condition,AIRCOND
air shutter,AIRSHTR
armored infantry vehicle,AIV
assembly jig,AJ
antijamming,AJ
air lock,AL
aluminum,AL
amber light,AL
application list,AL
automatic level control,ALC
alcohol,ALC
alclad,ALCD
at alater date,ALD
alidade,ALDD
algebra,ALG
algorithm,ALGO
algorithmic-oriented language,ALGOL
alignment,ALIGN
alkaline,ALK
alkalinity,ALKY
allocate,ALLOC
allowance,ALLOW
alarm,ALM
alphabetical,ALPHA
altitude,ALT
alternation,ALT
altitude transmitting equipment,ALTE
altimeter,ALTM
alternate,ALTN
alternator,ALTNTR
alternative,ALTNV
altered,ALTRD
alteration,ALTRN
arithmetic and logic unit,ALU
alloy,ALY
amplitude modulation,A
amatol,AM
ante meridiem [before noon],AM
automatic message accounting,AMA
airframe-mounted accessory drive,AMAD
amber,AMB
ambient,AMB
ambulance,AMB
antimotorboat,AMB
asbestos millboard,AMB
automatic mixture control,AMC
air movement data,AMD
actual mating envelope,AME
amendment,AMEND
American,AMER
amalgam,AMLG
antimissile missile,AMM
ammeter,AMM
ammunition,AMMO
ammunition rack,AMMORK
ammonia,AMNA
ammonium nitrate,AMNIT
acoustic mine sweeping,AMNSWP
ammunition hoist,AMOHST
ammunition hoist drive,AMOHSTDR
automatic meteorological observing station,AMOS
ampere,AMP
amphibian,AMPH
amphibious,AMPH
ampere-hour,AMPHR
amphibious truck,AMPHTRK
amplifier,AMPL
amplidyne,AMPLDN
amplidyne generator,AMPLG
amplidyne motor generator,AMPLMG
amplitude,AMPTD
advance material request,AMR
aeronautical material specification,AMS
amount,AMT
antimotor torpedo boat,AMTB
area moving target indicator,AMTI
automatic moving-target indicator,AMTI
air munitions,AMUN
Air Force-Navy,AN
alteration notice,AN
Army-Navy,AN
Air Force-Navy Aeronautical,ANA
Army-Navy-Air Force,ANAF
analysis,ANAL
analyze,ANALY
Army-Navy British,ANB
Air Force-Navy-Civil,ANC
all-number calling,ANC
Army-Navy Commercial,ANC
anchored filament,ANCFIL
announcing,ANCG
anechoic,ANCH
Air Force-Navy Design,AND
Army-Navy Design,AND
anodize,ANDZ
anhydride,ANHYD
anhydrous,ANHYD
automatic number identification,ANI
automatic noise limiter,ANL
anneal,ANL
analog,ANLG
angle order,ANLOR
angular,ANLR
annular,ANLR
anchor light,ANLT
annunciator,ANN
alphanumeric output,ANO
aeronautical national taper pipe thread,ANPT
answer,ANS
antenna,ANT
antifreeze,ANTIFRZ
antilogarithm,ANTILOG
voice-actuated transmitter keyer inhibitor,ANTIVOX
antitoxin,ANTOX
antiseptic,ANTSPT
access opening,AO
air over,AO
automatic output control,AOC
average outgoing quality,AOQ
average outgoing quality limit,AOQL
anchor order,AOR
automatic overload circuit,AOVC
access panel,AP
after peak,AP
after perpendicular,AP
air passage,AP
argument programming,AP
armor-piercing,AP
acidproof,AP
axial pressure angle,APA
acoustical plaster ceiling,APC
armored personnel carrier,APC
armor-piercing capped,APC
automatic phase control,APC
armor-piercing capped incendiary,APCI
armor-piercing capped incendiary with tracer,APCIT
antipersonnel,APERS
aperture,APERT
acidproof floor,APF
armor-piercing incendiary,API
air-position indicator,API
array processing instruction set,APIS
armor-piercing incendiary with tracer,APIT
a programming language,APL
allowance parts list,APL
automatic phase lock,APL
airplane,APL
applied,APLD
appliqué,APLQ
apothecary,APOTH
appearance,APP
apparatus,APPAR
application,APPL
approximate,APPROX
approve,APPV
approval,APPVL
appendix,APPX
April,APR
approach,APRCH
apparent,APRNT
airport,APRT
airport surveillance radar,APSR
armor-piercing-with tracer,APT
apartment,APT
auxiliary power unit,APU
approved,APVD
architectural projected window,APW
aqueous,AQ
acceptable quality level,AQL
acceptable quality test,AQT
acid-resisting,AR
as required,AR
assembly and repair,AR
abrasion resistant,AR
arbitrary,ARB
arc cosine,ARCCOS
inverse cosine,ARCCOS
arc cotangent,ARCCOT
inverse cotangent,ARCCOT
arc cosecant,ARCCSE
inverse cosecant,ARCCSE
architecture,ARCH
archive,ARCH
arc secant,ARCSEC
inverse secant,ARCSEC
arc sine,ARCSIN
inverse sine,ARCSIN
arc tangent,ARCTAN
inverse tangent,ARCTAN
arc weld,ARCW
Advance Revision Authorization Document,ARAD
auto reverse fan,ARF
arresting [gear or hook],ARG
arithmetic,ARITH
arithmetic unit,ARITHU
acceptable reliability level,ARL
armature,ARM
arming,ARM
armored cable,ARMCA
armored,ARMD
armor plate,ARMPL
armature shunt,ARMSHT
armament,ARMT
arcing,ARNG
aromatic,AROM
aeronautical recommended practice,ARP
analytical rework program,ARP
anti-repeat relay,ARR
arrange,ARR
arsine,ARS
asbestos roof shingles,ARS
arrester,ARSR
article,ART
air route traffic control center,ARTCC
articulated,ARTCLD
artificial,ARTF
artificial neutron,ARTRON
artillery,ARTY
ammeter switch,AS
antisubmarine,AS
air scoop,AS
airspeed,AS
as soon as possible,ASAP
asbestos,ASB
automatic sensitivity control,ASC
auxiliary switch [breaker] normally closed,ASC
American National Standard Code for Information Interchange,ASCII
American Standard Elevator Code,ASEC
aeronautical standards group,ASG
assignment,ASGMT
assign,ASGN
air shutoff,ASHOF
air-to-surface missile,ASM
assemble [auto manufacturing],ASM
average sample number,ASN
auxiliary switch [breaker] normally open,ASO
asphalt,ASPH
asphalt-plank floor,ASPHPF
asphalt roof shingles,ASPHRS
alloy-steel protective plating,ASPP
aspirator,ASPRTR
airborne surveillance radar,ASR
assort,ASRT
assemble,ASSEM
Acquisition Streamlining and Standardization Information Systems,ASSIST
association,ASSN
associate,ASSOC
assistant,ASST
assistance,ASSTN
assembly,ASSY
astigmatism,ASTIG
astern,ASTN
air starting,ASTRG
astrophysics,ASTROPHYS
angle stop valve,ASV
antisubmarine warfare,ASW
auxiliary switch,ASW
American Steel Wire Gage,ASWG
asymmetric,ASYM
asymptote,ASYMP
antitank,AT
action time,AT
airtight,AT
ampere [turn],AT
atomic (comb form),AT
air-to-air after cooler,ATAAC
asphalt-tile base,ATB
air traffic control,ATC
acoustical tile ceiling,ATC
attach,ATCH
attachment,ATCH
attack,ATCK
automatic test equipment,ATE
asphalt-tile floor,ATF
athwartship,ATH
average total inspection,ATI
air turbine motor,ATM
atmosphere,ATM
atomizing,ATMG
antitank nonmetallic,ATNM
antitorpedo,ATORP
assisted takeoff system,ATOS
air transport radio,ATR
anti-transmit-receive,ATR
automatic terrain recognition and navigation,ATRAN
anti tracking control,ATRC
after torpedo room,ATRM
anti-transmit-receive tube,ATRT
astronomical time switch,ATS
attitude,ATTD
attenuation,ATTEN
attenuator,ATTEN
attention,ATTN
attorney,ATTY
amateur television,ATV
atomic hydrogen weld,ATW
atomic weight,ATWT
atomic explosion,ATXPL
astronomical unit,AU
audible,AUD
audio,AUD
auditor,AUDTR
August,AUG
air-to-underwater missile,AUM
automatic monitoring,AUM
authorize,AUTH
automatic,AUTO
automobile,AUTO
automatic check valve,AUTOCV
automatic digital network,AUTODIN
automatic lean,AUTOLEAN
automotive,AUTOM
automation,AUTOMN
automatic overload,AUTOOVLD
automatic pistol,AUTOP
automatic reclosing,AUTORECL
automatic rich,AUTORICH
automatic stop and check valve,AUTOSCV
automatic starter,AUTOSTRT
automatic starting,AUTOSTRTG
automatic voice network,AUTOVON
autotransformer,AUTOXFMR
armored utility vehicle,AUV
antiunderwater warfare,AUW
auxiliary,AUX
auxiliary register,AUXR
available,AVAIL
automatic volume control,AVC
avoirdupois,AVDP
automatic volume expansion,AVE
avenue,AVE
average,AVG
average diameter,AVGDIA
aviation electronics,AVIONICS
availability,AVLBL
aviation,AVN
average picture level,AVPL
arming wire,AW
above water,AW
accordance with,AW
acid waste,AW
area weight average resolution,AWAR
area weighted average T-number,AWAT
all-wheel drive,AWD
American Wire Gage,AWG
awning,AWN
anchor windlass,AWNDLS
all-wheel steer,AWS
axial flow,AXFL
automatic transformer,AXFMR
axial pitch,AXP
azimuth,AZ
azimuth and elevation,AZEL
azimuth and range,AZRNG
automatic zero set,AZS
Access,ACS
Actuator ,ACTR
Adapter,ADPTR
Addendum ,ADD
Air,AIR
Alarm ,ALM 
Aluminum,AL
Application,APPL
Assembly,ASSY
Back,BCK
Baffle,BAF
Base,BS
Beauty,BTY
Beckett,BEC
Black ,BK 
Black Phosphate,BP
Block,BLK
Blocked Vent Shutoff,BVSO
Blower,BLO
Blue,BL
Board,BD
Bolt,BLT
Bottom,BOT
Box,BX
Bracket,BRKT
Braze ,BRZ 
Brown,BR
Bulb,BULB
Burner,BNR
Cabinet,CAB
Cable,CBL
Cap,CAP
Carbon Steel ,CS
Cardboard,CB
Cast Iron,CI
Center,CTR 
Channel,CHNL
Chipboard,CHB
Circulator; Circulation,CIRC
Clamp,CLP
Clean Out,CO 
Closed,CLSD
Combination ,CMB 
Common,COM
communication ,COM 
Complete ,COMPL 
Component ,CMPNT 
Compound,CMPD
Condensate,COND
Condensate Line,L-COND
configuration ,CONFIG 
Configurator,CONFIG 
Connector ,CONN 
Consisting Of,CON-OF 
Contact ,CONT 
Contractor,
Control,CTRL
Conversion ,CVRSN 
Cover,CVR
Crate,CRT
Cross,CRSS
Danger,DNGR
Detection,DET
Diameter ,DIA 
Dish,DSH
Display,DSPL
Domestic Hot Water,DHW
Door,DR
ECOTec,ECT
Edge,EDGE
Elbow ,ELB 
Electrode,ELCTD
Emergency,EMER
Enclosure,ENCL
Energy ,ENGY 
Envelope ,ENV 
Exhaust,EXH
Extension,EXT
Exterior,EXT
"External, Exterior",EXT
Fast Blow  (Fuses),F-BLOW
Feature,FEA
Feature/Option,F/O 
Female,FEM
Fiberglass ,FBRGL 
Field ,FLD 
Filter,FLTR
Finish ,FNSH 
Firetube,FTUB
Flame,FLM
Flange,FLG
Flap,FLAP
flared ,FLRD 
Flexible,FLEX 
Flue,FLU
Foot,FT
Foreign,FRGN
Forming,FRM
Frame ,FR 
French,FR
Front,FR
Full,F
Full Telescopic Design,FTD 
galvanize ,GALV 
Galvanized Steel ,GALVS
Gas,GAS
Gasket,GSKT 
Gauge,GA
Gold ,GLD 
Grate,GRT
Gray,GRA
Grommet,GROM 
ground ,GND 
Guide,GDE
Gusset ,GUS 
Handle,HDL
Hang,HANG
Hardware,HDW
Harness,HARN
Hatch,H
Head,HD
Heat Exchanger,HX
Heat Interface Unit,HIU
Heat Pump,HTP
Heater,HTR
Hexagon ,HEX 
Hexegon,HEX
High,HI
High Gas Pressure,HGP
High Pressure ,HP 
High Voltage,HV
Holddown ,HLDN 
Honeycomb,HNYCMB
Hood,HD
Hot Surface Ignition,HSI
hot-rolled ,HR 
hot-rolled steel ,HRS 
"hot-rolled, pickled, and oiled ",HRPO 
Ignition ,IGN 
Ignitor,IGNTR
Inch,IN
Indirect Water Heater,IWH
Indoor,INDR
Inducer,INDCR
Inlet,INL
Insert,INSR
Inside Diameter ,ID 
Instruction,INSTR
Insulation,INSUL
Intake,INTK
Integrated,INTGRT
Integrated circuit ,IC 
Interface ,INTFC 
Interior ,INTR 
Intermediate,INTMD 
Intermittent ,INTMT 
Jacket,JKT
Jumper,JPR
Junction,JCT
Junction Box,JB
Label,LBL
Ladder ,LAD 
Layout ,LYT 
Lead,PB
Lead Free,LF
Left,L
Leg,LEG
Legend,LGND
Level,LVL
Leveling,LVL
Lifting,LFT 
Lifting Lugs,LFTL
Line,LINE
Liquefied Petroleum ,LP 
Liquified Petroleum Gas,LPG
Locate ,LCT 
Long,LG
Low,LOW
Low Gas Pressure,LGP
Low Water Cut Off,LWCO
Machine Screw ,MSCR 
Machine Shop,MS
Main,MN
Male,M
Manifold,MANF
Manual,MNL
Marking,MKG
Mesh,MESH
Middle,MDL
Mixer,MXR
Model,MOD
Modulating,MODG
Modulation,MODN
Module,MDL
Molex,MLX
Mount ,MT 
Nameplate,NPL
National Taper Pipe [thread] ,NPT 
National taper pipe [thread] ,NPT 
Natural Gas,NG
Nipple,NIP
Open,OPEN
Opening ,OPNG 
Operating,OPR
Orifice,ORF
Outdoor,OUTDR
Outer,OTR
Outlet,OUT
Outside Diameter,OD
Package,PKG
Paint ,PNT 
Pallet ,PLL 
Pan Head,PNH
Panel,PNL
Part,PRT
Passivate ,PSVT 
paste ,PST 
Phase ,PH 
Phillips,PH
Phillips Head,PHH
Pilot ,PLT 
Pipe,PIP
Pitot,PITOT
plastic ,PLSTC 
Plate,PL
Plated ,PLD 
Plug,PLG
Polypropylene,PP
Post,PST
pound-force per square inch ,PSI 
Premix,PMX
Pressure,PRESS 
probe ,P 
Purchase,PURCH
Quick,QCK
Radiant,RADT
Ramp,RMP
Rating,RTG
refractory ,RFRC 
Regular Slotted container,RSC
Relief Valve ,RV 
Replacement ,REPLT 
Residential,RES
Rest,RST
Retain,RET
Return,RTN
Right,R
Robershaw,RS
Rollout,RLO
Round ,RND 
Sample,SMPL
Schedule ,SCHED 
Schematic ,SCHEM 
Scored,SCOR
Scored Sheet,SSH
Screw Machine,MSCR
Seal,SEAL
Section,SECT
Self Clinching,SCL
Sense,SEN
Sensor ,SNSR 
Series,SER
Serrated,SERR
Serrations,SERR
Service,SVCE
Setpoint,STPT
Sheet,SH
Shipping ,SHPNG 
Side,SD
Silencer,SLNCR
Silicone,SLCN
Simplicity,SMP
Size,SZ
SlimFit,SF
Slot,SLT
Slotted ,SLTD 
Slotted ,SLTD 
Slow Blow (Fuses),S-BLOW
Solis,SL
Spacer ,SPCR 
Spark,SPK
specification ,SPEC 
Splice ,SPLC 
Square,SQ
Stage,STG
Stainless Steel,SST
Standoff,STDF
Steam,ST
Stock ,STK 
Straight ,STR 
Styrofoam,STYRO
Supplement,SUPPL
Supply,SPLY 
Support ,SPRT 
Surface ,SURF 
Switch,SW
Tag,TAG
Tank,TNK
Tankless,TKLS
Temperature ,TEMP 
Terminal Block ,TBLK 
termination ,TERMN 
Texture ,TEX 
thermal ,THRM 
Thermostat ,THERMO 
Thick ,THK 
Thread,THD
Thread,THD
Tie,TIE
Top,TOP
Touch,TCH
Train,TN
transducer ,XDCR 
Transformer ,XFMR 
Trap Condensate,T-COND
Tridicator,TDR
Trim,TRM
Tube,TUB
Tubing ,TBG 
Two-Stage ,2STG 
Unfinished ,UNFIN 
Union ,UN 
Universal,UNIV
User,U
Valve,V
"Vent, Venting",VNT
Venturi,VNTI
Vertical ,VERT 
Vinyl,VNL
Washer ,WSHR 
Water,WTR
Water Column,WC
Water Heater ,WH
White,WHT
White Rodgers,WR
Wind,WND
Wireless,WLS
Wireway,WW
Wiring,WRG 
Wiring ,WRG 
wiring harness ,WH 
Without ,WO 
Wood,WOOD
Wrench ,WR 
Yellow,Y
Zinc Phosphate,ZP
Zinc Plated,ZP
intermittent pilot with damper LP,PIDL
Series 1,S1
Series 2,S2
Series 3,S3
